时间            探头1温度         探头2温度         探头3温度         探头4温度         探头5温度         探头6温度         探头7温度         探头8温度
 1.1           26.7          26.8          27.9          27.9          27.5          28            27.3          27.4 
 2.1           26.7          26.8          27.9          27.9          27.5          28            27.3          27.4 
 3.1           26.7          26.8          27.9          27.9          27.5          28            27.3          27.4 
 4.2           26.7          26.8          27.9          27.9          27.5          28            27.3          27.4 
 5.2           26.7          26.8          28            27.9          27.5          28            27.3          27.4 
 6.2           26.7          26.8          27.9          27.9          27.5          28            27.3          27.4 
 7.3           26.7          26.8          27.9          27.9          27.5          28            27.3          27.4 
 8.3           26.7          26.8          27.9          27.9          27.5          28            27.2          27.4 
 9.3           26.7          26.8          27.9          27.9          27.5          28            27.2          27.4 
 10.3          26.7          26.8          27.9          27.9          27.5          28            27.2          27.4 
 11.4          26.7          26.8          27.9          27.9          27.5          28            27.3          27.4 
 12.4          26.7          26.8          27.9          27.9          27.5          28            27.3          27.4 
 13.4          26.7          26.8          27.9          27.9          27.5          28            27.3          27.4 
 14.5          26.7          26.8          27.9          27.9          27.6          28            27.3          27.4 
 15.5          26.7          26.8          27.9          28            27.6          28.1          27.3          27.4 
 16.5          26.7          26.8          27.9          28            27.6          28.1          27.3          27.4 
 17.6          26.7          26.8          28            28            27.7          28.1          27.3          27.4 
 18.7          26.7          26.9          27.9          28            27.8          28.1          27.4          27.5 
 19.8          26.7          26.9          28            28.1          27.8          28.2          27.4          27.5 
 20.8          26.8          26.9          28            28.1          27.8          28.2          27.5          27.6 
 22            26.9          27            28            28.1          27.9          28.3          27.5          27.6 
 23            27            27            28            28.2          28.1          28.3          27.6          27.6 
 24.1          27.1          27.1          28            28.3          28.1          28.4          27.7          27.7 
 25.1          27.1          27.1          28            28.4          28.3          28.5          27.7          27.8 
 26.1          27.2          27.1          28.1          28.6          28.4          28.5          27.7          27.9 
 27.1          27.2          27.2          28.1          28.6          28.4          28.6          27.8          27.9 
 28.2          27.4          27.3          28.1          28.6          28.6          28.7          28            28 
 29.2          27.5          27.3          28.1          28.7          28.7          28.8          28.1          28 
 30.2          27.6          27.4          28.1          28.9          28.9          28.9          28.1          28.1 
 31.3          27.9          27.4          28.3          29.2          29.2          29.2          28.2          28.4 
 32.4          28.1          27.7          28.4          29.3          29.4          29.2          28.5          28.5 
 33.5          28.1          27.8          28.4          29.5          29.6          29.4          28.7          28.6 
 34.5          28.2          27.9          28.5          29.7          29.6          29.5          28.9          28.8 
 35.5          28.5          28            28.6          29.7          29.8          29.7          29            28.8 
 36.6          28.7          28.2          28.6          29.8          30.1          29.9          29.2          29 
 37.6          28.9          28.5          28.7          30.1          30.3          30.1          29.2          29.2 
 38.6          29.1          28.5          28.8          30.4          30.6          30.1          29.4          29.4 
 39.7          29.1          28.6          28.9          30.5          30.9          30.4          29.7          29.6 
 40.7          29.4          28.8          29.1          30.5          30.9          30.6          30            29.9 
 41.7          29.6          29            29.2          30.8          31.2          30.9          30.1          29.9 
 42.7          30            29.3          29.2          31.1          31.5          31.1          30.1          30.1 
 43.8          30.3          29.3          29.3          31.4          31.8          31.4          30.5          30.4 
 44.8          30.3          29.6          29.5          31.6          32.2          31.4          30.7          30.6 
 46            30.6          29.8          29.7          32            32.5          31.7          31            30.9 
 47            30.9          30.1          29.8          32.2          32.5          31.9          31.3          31.2 
 48            31.2          30.4          30.1          32.2          32.9          32.3          31.6          31.2 
 49            31.6          30.7          30.1          32.6          33.3          32.6          32            31.5 
 50            32            30.7          30.3          32.9          33.6          32.9          32            31.9 
 51            32.3          31.1          30.4          33.3          34            32.9          32.3          32.2 
 52            32.3          31.4          30.7          33.6          34            33.4          32.6          32.5 
 53.1          32.7          31.8          30.9          33.6          34.4          33.7          33.1          32.9 
 54.1          33.1          32.2          30.9          34            34.9          34.1          33.4          32.9 
 55.1          33.5          32.6          31.2          34.4          35.3          34.5          33.4          33.3 
 56.1          33.9          32.6          31.4          34.8          35.7          34.5          33.8          33.7 
 57.2          33.9          32.9          31.7          35.1          36.1          34.9          34.3          34 
 58.3          34.4          33.4          32            35.6          36.1          35.4          34.7          34.5 
 59.4          34.8          33.9          32.3          35.6          36.6          35.8          35.1          35 
 60.6          35.3          34.3          32.6          36            37            36.2          35.5          35.4 
 61.7          35.7          34.7          32.9          36.4          37.6          36.7          36            35.4 
 62.8          36.2          35.2          32.9          36.8          38.1          37.1          36.4          35.8 
 63.9          36.7          35.7          33.3          37.3          38.6          37.6          36.4          36.3 
 65            37.2          35.7          33.6          37.8          39.1          38.1          37            36.8 
 66            37.7          36.2          33.9          38.2          39.6          38.1          37.5          37.2 
 67            37.7          36.7          34.4          38.7          39.6          38.6          38            37.8 
 68.1          38.2          37.3          34.8          38.7          40.1          39.1          38.5          38.4 
 69.1          38.8          37.9          35.2          39.3          40.8          39.8          39.1          38.4 
 70.1          39.2          38.5          35.2          39.8          41.3          40.3          39.1          38.9 
 71.2          39.8          38.5          35.6          40.3          41.8          40.9          39.6          39.5 
 72.2          40.3          39            36.1          40.8          42.4          40.9          40.2          40 
 73.2          40.3          39.6          36.5          41.3          42.4          41.5          40.8          40.6 
 74.3          40.9          40.2          36.9          41.3          42.9          42            41.3          41.1 
 75.3          41.5          40.9          36.9          41.9          43.5          42.5          41.9          41.1 
 76.5          42.1          41.5          37.3          42.4          44.1          43.2          42.4          41.7 
 77.5          42.6          41.5          37.8          42.9          44.7          43.8          42.4          42.3 
 78.7          43.1          42.1          38.2          43.5          45.3          44.4          43            42.9 
 79.8          43.7          42.8          38.8          44            45.9          44.4          43.6          43.6 
 80.8          43.7          43.4          39.3          44.6          46.5          45            44.3          44.1 
 81.8          44.4          44.1          39.8          45.1          46.5          45.6          44.9          44.8 
 82.8          45            44.8          40.3          45.1          47.1          46.3          45.5          44.8 
 83.9          45.5          45.5          40.3          45.7          47.7          47            46.2          45.4 
 84.9          46.2          45.5          40.8          46.3          48.4          47.6          46.2          46.1 
 85.9          46.8          46.2          41.3          46.9          49            47.6          46.8          46.7 
 86.9          46.8          46.8          41.9          47.5          49            48.3          47.5          47.4 
 88            47.4          47.6          42.4          47.5          49.7          49            48.2          48.1 
 89            48.1          48.3          42.4          48.1          50.3          49.6          48.8          48.1 
 90            48.7          49            42.9          48.7          51            50.3          48.8          48.8 
 91            49.3          49            43.5          49.4          51.7          51            49.5          49.5 
 92.1          49.3          49.8          44.1          50            52.3          51            50.2          50.1 
 93.1          50            50.6          44.8          50.7          52.3          51.7          50.9          51 
 94.1          50.8          51.4          45.4          50.7          53.1          52.5          51.7          51 
 95.2          51.4          52.2          45.4          51.3          53.8          53.3          52.4          51.7 
 96.2          52.1          52.9          46            51.9          54.5          54            52.4          52.4 
 97.2          52.7          52.9          46.6          52.6          55.2          54            53.2          53.2 
 98.3          52.7          53.7          47.2          53.2          55.9          54.7          53.9          53.9 
 99.3          53.4          54.5          47.9          54            55.9          55.5          54.6          54.8 
 100.3         54.2          55.4          48.6          54            56.6          56.3          55.5          54.8 
 101.4         54.9          56.2          48.6          54.7          57.4          57.1          56.2          55.5 
 102.5         55.6          57            49.2          55.3          58.1          57.9          56.2          56.3 
 103.6         56.2          57            49.9          56            58.8          58.6          57            57.1 
 104.8         57            57.9          50.5          56.6          59.6          59.4          57.7          57.8 
 105.8         57            58.6          51.2          57.3          60.3          59.4          58.5          58.7 
 107           57.6          59.5          51.9          58            61            60.2          59.3          59.4 
 108           58.4          60.3          52.6          58            61            61            60.1          60.3 
 109           59.1          61.2          53.2          58.7          61.8          61.8          60.9          60.3 
 110.1         59.8          62            53.2          59.4          62.5          62.6          61.6          61.1 
 111.2         60.5          62.9          53.9          60            63.3          63.4          61.6          61.8 
 112.3         61.3          62.9          54.6          60.8          64            64.2          62.5          62.7 
 113.4         62            63.7          55.3          61.5          64.8          64.2          63.2          63.5 
 114.5         62            64.6          56            62.2          65.5          65.1          64.1          64.3 
 115.5         62.8          65.5          56.8          62.9          65.5          65.9          64.9          65.2 
 116.5         63.5          66.3          57.4          62.9          66.3          66.7          65.8          65.2 
 117.6         64.2          67.3          57.4          63.6          67.1          67.6          66.5          66 
 118.6         65            68.1          58.2          64.3          67.8          68.4          66.5          66.8 
 119.6         65.7          68.1          58.9          65.1          68.6          68.4          67.4          67.8 
 120.7         65.7          69            59.6          65.8          69.3          69.2          68.2          68.6 
