时间            探头1温度         探头2温度         探头3温度         探头4温度         探头5温度         探头6温度         探头7温度         探头8温度
 1             25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 2             25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 3             25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 4             25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 5             25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 6.1           25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 7.2           25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 8.3           25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 9.3           25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 10.3          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 11.3          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 12.3          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 13.3          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 14.3          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 15.3          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 16.3          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 17.5          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 18.5          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 19.5          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 20.6          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 21.7          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 22.8          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 23.8          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 24.8          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 25.8          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 26.9          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 27.9          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 28.9          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 29.9          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 30.9          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 31.9          25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 33            25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 34            25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 35            25.1          25.5          25.3          25.8          25            25.1          25.6          25.5 
 36.1          25.2          25.5          25.3          25.8          25            25.1          25.6          25.5 
 37.1          25.2          25.5          25.3          25.8          25            25.1          25.6          25.5 
 38.2          25.2          25.5          25.3          25.8          25.1          25.2          25.6          25.5 
